Company,Address1,Address2,Address3,City,State,Zip,Phone1,Phone2,Fax1,Fax2,Email,Website
800-Buy-Kwik Black,13938A Cedar Road #260,,,Cleveland,OH,44118,(216) 276-6555,(216) 321-1198,(216) 803-5711,,info@evergreenequitygroup.com,www.evergreenequitygroup.com
800-Buy-Kwik Rockford,P O Box 5120,,,Akron,OH,44334,330-865-5500,800-289-5945,330-865-7720,,rockfordfiles@sbcglobal.net, www.realestatesolutionsofamerica.com
800-Buy-Kwik White,1250 Linda Street; Ste. 204,,,Rocky River,OH,44116,440-333-9500,,440-333-9506,,swhite@a1realestatesolutions.com, www.a1realestatesolutions.com
Acts 17:28 Ministries,1177 Olentangy River Ste 103 Road,,,Columbus,OH,43212,888-893-4110,,,,worship@acts1728ministries.org,www.acts1728ministries.org
AFS,11921 85th Place North Maple Grove,,,Maple Grove,MN,55369,321-821-2244,888-883-4282,702-974-9953,,help@askafs.com,www.asscociatedfinancialservices.com
AIA Software,"15 Hidden Lake Way, Suite 102",,,Palm Coast,FL,,877-225-4914,856-642-9801,386-447-6547,,,
Albany Commons - Oakwood Management,5621 Warner Park Drive,,,Westerville,OH,43081,614-775-0555,,614-775-1111,,oak854@oakwoodmgmt.com,www.oakwoodmgmt.com
Albany Woods - Oakwood Management,5775 Harlem Road,,,New Albany,OH,43054,614-939-1312,,614-939-1857,,oak500@oakwoodmgmt.com; oak385@oakwoodmgmt.com,www.oakwoodmgmt.com
Alexander Babbage,600 West Peachtree St suite 1910,,,Atlanta,GA,30308,404-961-7600,,404-961-7601,,,www.alexanderbabbage.com
Allegiance IT,720 Pin Oak Drive,,,Wadsworth,OH,44281,330-315-2867,,,,info@allegiance-it.com,www.allegiance-it.com/
American Home Helpers,,,,,,,,,,,,
AMT Machine Systems,1760 Zollinger Road,,,Columbus ,OH,43221,614-451-2681,,614-538-0959,,courter@amtsys.com,www.servocam.com  
AMT Systems Engineering,1760 Zollinger Road,Lines are down trans calls from Ameritech,,Columbus,OH,43221,614-451-2681,,614-451-7007,,,www.amtsys.com
API Security Services & Investigations,867 High St Suite D,,,Worthington,OH,43085,614-310-1980,,614-310-1960,,,
Attache,4400 N. High Street,Suite 101,,Columbus,OH,43214,614-652-2734,614-268-9484,614-268-9485,,j.janoski@abandonconvention.com,www.abandonconvention.com  
Auto Leasing and Sales,1131 W. Fifth Avenue,,,Columbus,OH,43212,614-297-8880,800-759-8880,614-297-8906,,allmakes@autoleasingandsales.com,www.autoleasingandsales.com
AVV,9200 Worthington Road,,,Westerville,OH,43082,614-839-7900,,614-839-7875,614-839-7910,info@avv.com;ismsupport@avv.com;adssupport@avv.com,www.avv.com
Big Four Professionals,689 Hunter Avenue,,,Columbus,OH,43215,614-228-0406,800-304-5454,888-304-5454,,chris@bigfourpros.com;dinopass@comcast.com,www.bigfourpros.com
Blue Mile,,,,,,,,,,,,
BMG Seltec,,,,,,,,,,,,
Bob Egles Office,"3001 Bethel Road, Suite 100",,,Columbus,OH,43220,614-273-8000,614-273-0984,614-273-0986,,bob@bobegle.com,
Boys in the Hood Akron,P O Box 20781,,,Akron,OH,,,,,,,
